pos	rup	ron
vb 3+2	ajungu	deveni, v
vb 3+2	ajungu	egala - fig
vb 3+2	ajungu	prinde din urmă
vb 3+2	ajungu	sosi, v
adj	akeryiu	inoportun
vb 4	akicâsescu - mi	cădea de acord
vb 4	akicâsescu - mi	împăca
vb 4	akicâsescu - mi	înţelege
vb 4	akicâsescu - mi	simţi
adj	akicâshonjiu	năzdrăvan
sm	akicazmo, akicazmadz	înţelegere
art proclitic invar	al, a li	lui, ei
conj	ala	dar
invar	a-la- franga	europeneşte
invar	a-la- franga	franţuzeşte
adj	alabaciu	băieţandru
adj	alabaciu	copilandru
vb 4	alâcescu - mi	împăienjeni ochii
vb 4	alâcescu - mi	tulbura, v
vb 4	alâcescu - mi	zăpăci - fig
sf	alâcimi	băltoacă
sf	alâcimi	mocirlă
sf	alâciturâ	băltoacă
adv	alaga	repede
sf fpl	alagâ	fugă
adj	alâgâtoru	umblător
adj	alâgatu	cunoscător
sf	alâgâturâ	alergătură
vb 4	alâghescu	drăgosti
vb 4	alâghescu	iubi, v
sm	alagi, alageadz	stofă indiană
vb 1	alagu	alerga
vb 1	alagu	căuta - fig
vb 1	alagu	cutreiera
vb 1	alagu	fugări
vb 1	alagu	fugi
vb 1	alagu	goni
vb 1	alagu	grăbi, a se
vb 4	alâhâescu	avea loc
vb 4	alâhâescu	întâmpla, v
vb 4	alâhâescu	petrece, a se
vb 4	alâhâescu	produce, a se
sf	alai	huiduială
sm	alai-bei	colonel
invar	ala-Kerim	slavă Domnului
vb 4	alâkescu	adera
vb 4	alâkescu	alipi
vb 4	alâkescu	atinge - fig
vb 4	alâkescu	încleia
vb 4	alâkescu	lipi, v
vb 4	alâkescu	plezni o palmă - fig
vb 4	alâkescu	reuni
vb 4	alâkescu	suda
vb 4	alâkescu	tencui
vb 4	alâkescu	uni
sf	alaki	gaură la arşice
sm fpl	alâkitu	tuberculoză la oi
sf	alâkiturâ	lipitură
vb 1	alâkiushuru	abate, se - fig
vb 1	alâkiushuru	aluneca, v
vb 1	alâkiushuru	greşi - fig
vb 1	alâkiushuru	luneca
sf	alâmaki	ramură
vb 4	alâncescu - mi	apărea, v
vb 4	alâncescu - mi	arăta, a se
vb 4	alâncescu - mi	ivi, a se
vb 4	alâncescu - mi	înfăţişa
vb 4	alâncescu - mi	zări, a se
adv	alandala	alandala
pron dem	alandu	celălalt
sf	alândurâ	rândunică
sf	alândurishi	iarba rândunicii - plantă
sf fpl	alantâmâni	poimâine
pron dem	alantu	celălalt
sf	alâptâtoari	alăptătoare
sf	alâptâtoari	doică
vb 1	alâptedzu	alăpta, v
adv	alargu	departe
sf	alari	spălare
sf	alâsari	divorţ
sf	alâsari	indiferenţă
sf	alâsâturâ	lăsătură
vb 1	alâstornu	inversa
vb 1	alâstornu	întoarce
vb 1	alâstornu	vărsa
vb 1	alâstornu	răsturna, v
vb 1	alâstornu	cădea
vb 1	alâstornu	doborâ
vb 1	alasu - mi	abandona, v
vb 1	alasu - mi	admite
vb 1	alasu - mi	amâna
vb 1	alasu - mi	apleca
vb 1	alasu - mi	ceda
vb 1	alasu - mi	da drumul
vb 1	alasu - mi	depune
vb 1	alasu - mi	divorţa
vb 1	alasu - mi	îngădui
vb 1	alasu - mi	lăsa
vb 1	alasu - mi	lepăda
vb 1	alasu - mi	neglija
vb 1	alasu - mi	opri, nu
vb 1	alasu - mi	permite
vb 1	alasu - mi	preda
vb 1	alasu - mi	pune
vb 1	alasu - mi	renunţa
vb 1	alasu - mi	renunţa, v
sn	alath(u)	greşeală
vb 4	alâthipsescu	confunda
vb 4	alâthipsescu	greşi
vb 4	alâthipsescu	înşela
vb 4	alâthipsescu	păcătui
vb 4	alâthipsescu	rătăci
adj	alâtrâtoru	lătrător
sn	alâtratu	lătrat
sf	alâtrâturâ	lătrătură
vb 1	alatru	lătra, v
sn	alatsu	cursă
sn	alatsu	încheietură
sn	alatsu	laţ
sn	alatsu	ştreang
adj	alatu	spălat
invar	a-la-turca	turceşte
adv	alaturea	alături
adv	alaturi	alături
adv	alâturi	alături
vb 1	alau	eroda
vb 1	alau	scălda
vb 1	alau	spăla, v
adv	alavar	adevăr, în
sf fpl	alavdâ	laudă
sf	alâvdâciuni	laudă
sf	alâvdari	lăudărăşenie
adj	alâvdâtoru	lăudăros
sf	alâvdâturâ	lăudărăşenie
adj	alâvdosu	lăudăros
vb 1	alavdu - mi	făli, v
vb 1	alavdu - mi	fuduli
vb 1	alavdu - mi	glorifica
vb 1	alavdu - mi	îngâmfa
vb 1	alavdu - mi	lăuda, v
vb 1	alavdu - mi	mândri
vb 1	alavdu - mi	preamări
vb 4	alâxescu - mi	face schimb
vb 4	alâxescu - mi	fluctua
vb 4	alâxescu - mi	îmbrăca - fig
vb 4	alâxescu - mi	înlocui
vb 4	alâxescu - mi	metamorfoza
vb 4	alâxescu - mi	modifica
vb 4	alâxescu - mi	muta
vb 4	alâxescu - mi	preschimba
vb 4	alâxescu - mi	primeni
vb 4	alâxescu - mi	schimba, v
vb 4	alâxescu - mi	transforma
sn	alâximintu	costum
sn	alazu	pumnal
sf fpl	albâ	fericită - fig
sf fpl	albâ	mândruţă - fig
sf fpl	albâ	rachiu - fig
sf fpl	albâ	variolă - fig
vb 4	albânsescu	îmbulzi
vb 4	albânsescu	năpusti
vb 4	albânsescu	năvăli, v
sm	albanu	potcovar
adj	albastru	albastru
adj	albastru	bleu
vb 4	albâstruescu	albăstri, v
adj	albatu	alb
sf	albeatsâ	albeaţă
sf	albeatsâ	albuş de ou
sf	albeatsâ	fard alb
adj	alberu	blond
sf	albili	costume albe
sf	albili	ielele
sf pl	albili	zânele rele
adj	albu	alb
adj	albu	candid
adj	albu	curat
adj	albu	fericit
adj	albu	nevinovat - fig
sn	albushu	albuş de ou
adj	albushu	blond
sf fpl	alcâ	smântână
sf	alceki	baniţă
sm	alci, alceadz	placheu la pantof
adj	alcu	stacojiu - roşu aprins
sm fpl	alcu	stocojiu
vb 1	aleapidu - mi	arunca
vb 1	aleapidu - mi	lansa
vb 1	aleapidu - mi	lepăda
vb 1	aleapidu - mi	renega
vb 1	aleapidu - mi	repezi
vb 3+2	alegu - mi	alege, v
vb 3+2	alegu - mi	cerne - fig
vb 3+2	alegu - mi	citi - fig
vb 3+2	alegu - mi	deosebi
vb 3+2	alegu - mi	desluşi
vb 3+2	alegu - mi	diferenţia
vb 3+2	alegu - mi	diferi
vb 3+2	alegu - mi	discerne
vb 3+2	alegu - mi	discrimina
vb 3+2	alegu - mi	distinge
vb 3+2	alegu - mi	remarca
adj	alepsu	ales
adj	aleptu	ales
adj	aleptu	deosebit
adj	aleptu	distinct
adj	aleptu	frumos
sf	aletrâ	plug
sf	alfavitari	abecedar
sf	alfii	alifie
sm	alge, algeadz	roib
vb 4	alghescu	albi, v
vb 4	alghescu	decolora
vb 4	alghescu	fericit a fi
vb 4	alghescu	îmbătrâni - fig
vb 4	alghescu	împăienjeni ochii - fig
vb 4	alghescu	înălbi
vb 4	alghescu	încărunţi
vb 4	alghescu	răsări soarele
sm pl	alghi	bani albi
sf	alghinâ	albină
sf fpl	alghinami	albine multe
sm	alghinaru	apicultor
sf	alghiturâ	albitură
sm	alicu	roşu roşietic
sm	alicu	stocojiu
sf	alidzeari	discernământ
sf	alifii	alifie
sf fpl	alihea	adevăr
adv	alihea	adevăr, în
adj	alihiosu	adevărat
adv	alihira	întradevăr
adv	alihiuri	întradevăr
vb 4	alikescu - mi	aciua
vb 5	alikescu - mi	aglutina
vb 4	alikescu - mi	alipi
vb 4	alikescu - mi	anexa
vb 4	alikescu - mi	ataşa
vb 4	alikescu - mi	atinge
vb 4	alikescu - mi	cuibări
vb 4	alikescu - mi	da una
vb 4	alikescu - mi	încleia
vb 4	alikescu - mi	încorpora
vb 4	alikescu - mi	lipi, v
vb 4	alikescu - mi	prinde - fig
vb 4	alikescu - mi	pripăşi
vb 4	alikescu - mi	suda
vb 4	alikescu - mi	tencui
vb 4	alikescu - mi	trage una
vb 4	alikescu - mi	uni
sm fpl	alil-hisapu	acont
adj	alimsu	beat - fig
adj	alimsu	frumos - fig
adj	alimsu	lins
sf	alimurâ	jaf
vb 4	alincescu - mi	apărea, v
vb 4	alincescu - mi	arăta, a se
vb 4	alincescu - mi	fixa, v
vb 4	alincescu - mi	ivi, a se
vb 4	alincescu - mi	înfăţişa
vb 4	alincescu - mi	zări, a se
adj	alincitoru	înşelător
vb 3+2	alingu	linge, v
vb 1	alinu - mi	căţăra
vb 1	alinu - mi	creşte
vb 1	alinu - mi	escalada
vb 1	alinu - mi	înălţa
vb 1	alinu - mi	majora
vb 1	alinu - mi	ridica
vb 1	alinu - mi	scumpi - fig
vb 1	alinu - mi	sui
vb 1	alinu - mi	urca, v
sf	alipidari	lepădare
adj	alipidatu	curajos
adj	alipidatu	îndrăzneţ
sf	alipini	plantă erbacee
sf	alishvirishi	alişveriş - negoţ
sf	alisidhâ	lanţ
sf	alisivâ	leşie
sn	alisu	lanţ
sf fpl	alithea	adevăr
adv	alithea	adevărat
adv	alithina	adevărat
adj	alithinosu	veritabil
adj	alithiosu	adevărat
invar	alithkea	adevărat
sn	aljiu	usturoi
sm fpl	aljiu kisatu	mujdei
adv	aljiumtrea	altminteri
adv	aljiumtrea(lui)	altminteri
adv	aljiurea	aiurea
vb 1	aljiuredzu	aiura
vb 1	aljiuredzu	delira
sf	alneauâ	ramură
sn	aloatu	aloat
sf	alobudâ	lobodă
adj	alocutu	dezordonat
sf	aloni	arie
vb 4	alsaru	apare, v
vb 4	alsaru	dansa
vb 4	alsaru	escalada
vb 4	alsaru	omite
vb 4	alsaru	răsări, v
vb 4	alsaru	sălta
vb 4	alsaru	sări, v
vb 4	alsaru	ţâşni
vb 4	alsaru	ţopăi
vb 4	alsaru	zburda
sf	alsidhâ, alsidz	lanţ
sf	alsivâ	leşie
adj	alt(u)	alt
adv	altâoarâ	altădată
sn	altari	altar
sn	altaru	altar
sm	altilâcu	monedă de 6 piaştri
sn	altipatlaru	revolver
sf	altsari	înălţare
sn	altsu	lanţ
vb 1	altsu - mi	arbora
vb 1	altsu - mi	construi
vb 1	altsu - mi	creşte
vb 1	altsu - mi	înălţa, v
vb 1	altsu - mi	lăuda - fig
vb 1	altsu - mi	promova
vb 1	altsu - mi	răsări
vb 1	altsu - mi	ridica, se
vb 1	altsu - mi	sui, se
vb 1	altsu - mi	urca, se
sn	aluatu	aluat
sn	aluatu	moale - fig
sf	aludzâmi	fleşcăire
vb 4	aludzăscu - mi	acri
vb 4	aludzăscu - mi	altera
vb 4	aludzăscu - mi	denatura
vb 4	aludzăscu - mi	descompune
vb 4	aludzăscu - mi	fermenta
vb 4	aludzăscu - mi	împuţi
vb 4	aludzăscu - mi	înăcri
vb 4	aludzăscu - mi	îngălbeni
vb 4	aludzăscu - mi	ofili
vb 4	aludzăscu - mi	păli
vb 4	aludzăscu - mi	polua
vb 4	aludzăscu - mi	râncezi
vb 4	aludzăscu - mi	strica, se
vb 4	aludzăscu - mi	transforma
vb 4	aludzăscu - mi	usca
vb 4	aludzăscu - mi	veşteji
vb 4	alughescu - mi	drăgosti
vb 4	alughescu - mi	iubi, v
sf	alumaki	ramură
adj	alumâkios	rămuros
sm	alumă , alumadz	ichiu - os la arşice
vb	alumbu	reîntâlni
sf	alumi	lume
sf	alumtâ	luptă
numâ dit pirmithi	Alumtâ-căljiuri	Bate - drumuri
numâ dit pirmithi	Alumtâ-muntsâ	Cutreieră munţi
sf	alumtari	luptă
sn	alumtaticu	luptă
adj	alumtâtoru	luptător
vb 1	alumtu - mi	bate, se
vb 1	alumtu - mi	combate
vb 1	alumtu - mi	cutreiera - fig
vb 1	alumtu - mi	întrece, se
vb 1	alumtu - mi	lupta, v
vb 1	alumtu - mi	măsura, se
vb 1	alumtu - mi	munci - fig
vb 1	alumtu - mi	război, se
vb 1	alumtu - mi	strădui, se
sf	alunâ	alună
sf fpl	alunami	alunet
mesu 07	Alunaru	Iulie
sf	aluneauâ	rămurea
vb 1	alunicu	abate, se - fig
vb 1	alunicu	aluneca, v
vb 1	alunicu	greşi - fig
vb 1	alunicu	luneca
sf	alunizmâ	nămol
vb 4	alunsescu	treiera, v
vb 4	alunsescu	vântura
sm	alunu	alun
sf	aluptari	luptă
vb 1	aluptu - mi	bate, se
vb 1	aluptu - mi	combate
vb 1	aluptu - mi	întrece, se
vb 1	aluptu - mi	lupta, v
vb 1	aluptu - mi	măsura, se
vb 1	aluptu - mi	război, se
vb 1	aluptu - mi	strădui, se
sf	alusturnari	răsturnare
adj	alusturnat	răsturnat
sn	alutu	lut
conj	am	dacă
conj	am	dar
conj	ama	dacă
conj	ama	dar
sf	amadhâ	piatră la joc
sf pl?	amadiri	plantă erbacee
sf	amâgicâ	ichiu mic la arşice
sm	amâgicu	ichiu mic la arşice
adj	amagru	macru
sf	amahi	duşmănie
sf	amai	farmece
sf	amai	vrajă
sf	amâlâi	iarbă multă
sf fpl	amalamâ	aur
sf	amâlâyii	iarbă multă
sf fpl	amalomâ	aur
sf fpl	amalumâ	aur
invar	aman	aman-graţie
invar	aman	graţie
adj	amânâtoru	întârzietor
adv	amânatu	târziu
sm	amaneci, amaneceadz	om de încredere
sf	amaneti	amanet
sf	amaneti	gaj
sf	amaneti	garanţie
sf	amânii	ură
vb 1	amânu	amâna
vb 1	amânu	dura în timp
vb 1	amânu	încetini
vb 1	amânu	întârzia, v
vb 1	amânu	lăsa pe altădată
vb 1	amânu	lua timp
vb 1	amânu	păsui
vb 1	amânu	pregeta
vb 1	amânu	prelungi
vb 1	amânu	tărăgăna
vb 1	amânu	temporiza
vb 1	amânu	tergiversa
vb 1	amânu	zăbovi
sf	amârâciuni	amărăciune
sf fpl	amârami	amărăciune
vb 4+1	amârăscu - mi	amărâ, v
vb 4+1	amârăscu - mi	întrista
vb 4+1	amârăscu - mi	mâhni
vb 4+1	amârăscu - mi	supăra
sf	amâreatsâ	amărăciune
vb 1	amâredzu - mi	amărâ, v
vb 1	amâredzu - mi	întrista
vb 1	amâredzu - mi	mâhni
vb 1	amâredzu - mi	supăra
sf	amari	mare
adj	amârosu	amar
sf	amârtii	păcat
adj	amârtiosu	păcătos
vb 4	amârtipsescu	greşi - fig
vb 4	amârtipsescu	păcătui, v
adj	amaru	amar
adv	amaru	amar
sm fpl	amaru	amar
sm	amâxă, amâxadz	căruţaş
sf	amaxi	automobil
sf	amaxi	autoturism
sf	amaxi	căruţă
sf	amaxi	trăsură
sf	amayi	farmece
vb 4	amâyipsescu	fermeca
vb 4	amâyipsescu	vrăji
sf	ambâirari	pornire în şir
vb 1	ambairu - mi	alinia
vb 1	ambairu - mi	apare - fig
vb 1	ambairu - mi	enumera
vb 1	ambairu - mi	fute - fig
vb 1	ambairu - mi	împunge - fig
vb 1	ambairu - mi	înfira, v
vb 1	ambairu - mi	înşira
vb 1	ambairu - mi	înşirui
vb 1	ambairu - mi	merge - fig
vb 1	ambairu - mi	perinda
vb 1	ambairu - mi	porni înainte - fig
vb 1	ambairu - mi	străpunge
vb 1	ambairu - mi	succeda
adv	ambar	bine, cu
adv	ambar	îndemână, la
adv	ambar	noroc, cu
adj	ambar	norocos
adv	ambar	plin, din
adj	ambar	voios
sf	ambâreatsâ	fericire
sf	ambâreatsâ	noroc bun
sf	ambari	hambar
vb 4	ambârtuescu - mi	amesteca de-a valma
vb 4	ambârtuescu - mi	încurca, a se
vb 4	ambârtuescu - mi	învălmăşi, v
vb 4	ambârtuescu - mi	tulbura, a se
vb 4	ambârtuescu - mi	zăpăci, a se
vb 2	ambaru	arăta
vb 2	ambaru	imagina
vb 2	ambaru	închipui
vb 2	ambaru	năzări
vb 2	ambaru	părea
vb 2	ambaru	semăna
vb 4	ambârusescu	hambar, a pune în..., v
adv	ambatrulea	galop, în
vb 1	ambâtruledzu - mi	galopa
vb 1	ambâtruledzu - mi	răvăşi - fig
vb 1	ambaturlu - mi	galopa
vb 1	ambaturlu - mi	răvăşi - fig
vb 1	ambetu - mi	îmbăta, v
vb 1	ambetu - mi	turmenta
sf	ambinâ	odaie
sm	ambirigi, ambirigeadz	cârciumar
sf fpl	ambitâtsâlji	beţie
adv	ambladea	pieziş
sn	ambodhyiu	piedică
sn	amboljiu	altoi
vb 1	ambratsu - mi	consacra unei profesii
vb 1	ambratsu - mi	îmbrăţişa, v
vb 1	ambratsu - mi	însuşi - fig
sf	ambrună	ciucur
vb 1	ambucu	gusta
vb 1	ambucu	îmbina
vb 1	ambucu	îmbuca, v
vb 1	ambucu	împreuna
vb 1	ambucu	înfuleca
vb 1	ambucu	mânca
vb 4	ambudhisescu - mi	deranja
vb 4	ambudhisescu - mi	împiedica, v
vb 4	ambudhisescu - mi	încurca, v
vb 4	ambudhisescu - mi	jena
vb 4	ambudhisescu - mi	poticni
vb 4	ambudhisescu - mi	stânjeni
vb 1	ambuiru - mi,	alinia
vb 1	ambuiru - mi,	apare - fig
vb 1	ambuiru - mi,	enumera
vb 1	ambuiru - mi,	fute - fig
vb 1	ambuiru - mi,	împunge - fig
vb 1	ambuiru - mi,	înfira, v
vb 1	ambuiru - mi,	înşira
vb 1	ambuiru - mi,	înşirui
vb 1	ambuiru - mi,	merge - fig
vb 1	ambuiru - mi,	perinda
vb 1	ambuiru - mi,	porni înainte - fig
vb 1	ambuiru - mi,	străpunge
vb 1	ambuiru - mi,	succeda
vb 4	ambulisescu - mi	lapida, v
vb 4	ambuljisescu	altoi, v
sf	ambunari	conciliere
vb 1	ambunedzu - mi	calma
vb 1	ambunedzu - mi	concilia, v
vb 1	ambunedzu - mi	îmblânzi
vb 1	ambunedzu - mi	îmbuna, v
vb 1	ambunedzu - mi	împăca
vb 1	ambunedzu - mi	linişti
vb 1	ambunu	calma
vb 1	ambunu	concilia, v
vb 1	ambunu	îmblânzi
vb 1	ambunu	îmbuna, v
vb 1	ambunu	împăca
vb 1	ambunu	linişti
vb 1	ambushuledzu	merge de-abuşilea
sf	ambutoari	putoare
vb 4	ambutsescu - mi	deranja
vb 4	ambutsescu - mi	împiedica, v
vb 4	ambutsescu - mi	încurca, v
vb 4	ambutsescu - mi	jena
vb 4	ambutsescu - mi	poticni
vb 4	ambutsescu - mi	stânjeni
adj	ambutsosu	puturos, ca miros
vb 4+1	ambutsu	împunge, v
vb 4+1	ambutsu	stânjeni - fig
vb 4	ambutu	duhni
vb 4	ambutu	împuţi, v
vb 4	ambutu	mirosi urât
vb 4	ambutu	puţi
pron	amea	a mea
conj	amea	dar
conj	amea	deci
sf fpl	ameasticâ	amestecătură
vb 1	ameasticu -mi	amesteca, v
vb 1	ameasticu -mi	combina
vb 1	ameasticu -mi	corci
vb 1	ameasticu -mi	interveni
vb 1	ameasticu -mi	mesteca
vb 1	ameasticu -mi	vârâ, se
pron	ameu	al meu
vb 4	amfirescu	apăra, v
vb 4	amfirescu	ascunde
vb 4	amfirescu	descreşte
vb 4	amfirescu	diminua
vb 4	amfirescu	eschiva
vb 4	amfirescu	evita
vb 4	amfirescu	feri, v
vb 4	amfirescu	micşora
vb 4	amfirescu	ocroti, v
vb 4	amfirescu	păzi, v
vb 4	amfirescu	proteja, v
vb 4	amfirescu	reduce, v
vb 4	amfirescu	restrânge
vb 4	amfirescu	scădea, v
vb 4	amfirescu	veghea, se
conj	ami	dar
conj	ami	deci
sf	amilii	leşin
adv	amin	amin - adevarat, aşa să fie
sf	aminari	descărcare de armă
vb 1	aminciunedzu	minţi, v
vb 1	aminciunedzu	tromboni
num colectiv	amindo(i)lji	amândoi
num colectiv	amindoauli	amândouă
vb 1	amindu	beneficia
vb 1	amindu	câştiga ,v
vb 1	amindu	căpăta
vb 1	amindu	cuceri
vb 1	amindu	dobândi
vb 1	amindu	folosi
vb 1	amindu	izbândi
vb 1	amindu	naşte - fig
vb 1	amindu	profita
vb 1	amindu	reputa
sf	aminshushitsâ	lindină - ou de păduche
sm fpl	amintaticu	beneficiu
sm fpl	amintaticu	câştig
adv	aminti	aminte
num colectiv	amintreili	toate trei
num colectiv	amintreilji	toţi trei
vb 1	amintu - mi	beneficia
vb 1	amintu - mi	câştiga ,v
vb 1	amintu - mi	căpăta
vb 1	amintu - mi	cuceri
vb 1	amintu - mi	dobândi
vb 1	amintu - mi	folosi
vb 1	amintu - mi	izbândi
vb 1	amintu - mi	naşte - fig
vb 1	amintu - mi	profita
vb 1	amintu - mi	reputa
vb 1	aminu	arunca, v
vb 1	aminu	azvârli
vb 1	aminu	lansa
vb 1	aminu	lepăda
vb 1	aminu	proiecta un proiectil
vb 1	aminu	slobozi
vb 1	aminu	trage cu puşca,  etc
sm	amiralaiu	amiral
sf	amirâliki	împărăţie
sf	amirâlji	împărăţie
adj	amirârescu	împărătesc
sf	amirârilji	împărăţie
vb 4	amirâripsescu	împărăţi, v
sf	amirâroanji	împărăteasă
sm	amirârushu	împărătuş, fiu de împărat
sm	amiră, amiradz, amirâradz	împărat
sm	amirău, amiradz	împărat
adj	amirescu	împărătesc
sf	amiricancâ	pânză din America
sf	amiridzari	merizare-repaosul oilor după prânz pana pe la ora 16
sf	amiridzari	somnul de prânz la umbră
vb 1	amiridzu	ameriza - odihni la prânz, v
sn	amiridzu	meriză - repaosul de prânz
sf	amiroanji	împărăteasă
num colectiv	amishtreili	toate trei
num colectiv	amishtreilji	toţi trei
sf	amisticari	contactare
sf	amisticari	relaţionare
sf	amisticâturâ	amestecătură
sf	amisticâturâ	confuzie
sf	amnari	amnar
adv	amnatu	târziu
sn	amnearu	amnar
adv	amo	acum
invar	amoljiu	ud leoarcă
sf	amoni	nicovală
vb 2	amparu	arăta
vb 2	amparu	asemăna
vb 2	amparu	imagina
vb 1	amparu	împunge, v
vb 2	amparu	închipui
vb 2	amparu	năzări
vb 2	amparu	părea
vb 4	ampatrulescu	galopa, v
vb 4	ampatrulescu	răvăşi - fig
vb 1	ampâtur(l)edzu	galopa, v
vb 1	ampâtur(l)edzu	răvăşi - fig
vb 1	ampaturu	galopa, v
vb 1	ampaturu	răvăşi - fig
vb 1	ampihiuru	alinia
vb 1	ampihiuru	apare - fig
vb 1	ampihiuru	enumera
vb 1	ampihiuru	fute - fig
vb 1	ampihiuru	împunge - fig
vb 1	ampihiuru	înfira, v
vb 1	ampihiuru	înşira
vb 1	ampihiuru	înşirui
vb 1	ampihiuru	merge - fig
vb 1	ampihiuru	perinda
vb 1	ampihiuru	porni înainte - fig
vb 1	ampihiuru	străpunge
vb 1	ampihiuru	succeda
adv	amplatea	pieziş
vb 4	amplâtescu	îmbina
vb 4	amplâtescu	împleti, v
vb 4	amplâtescu	înota, v
vb 4	amplâtescu	pluti, v
vb 4	amplâtescu	tricota
vb 4	ampulisescu	bate
vb 4	ampulisescu	combate
vb 4	ampulisescu	întrece, a se
vb 4	ampulisescu	lupta, v
vb 4	ampulisescu	măsura, a se
vb 4	ampulisescu	război
vb 4	ampulisescu	strădui
vb 4	amputsăscu	împuţi, v
vb 4	amputsăscu	puţi
vb 4	amputu - mi	duhni
vb 4	amputu - mi	împuţi, v
vb 4	amputu - mi	mirosi urât
vb 4	amputu - mi	puţi
adv	amu	acum
vb 2	amu	avea
vb 2	amu	cântări
vb 2	amu	căpăta
vb 2	amu	conţine
vb 2	amu	deţine
vb 2	amu	exista
vb 2	amu	poseda
vb 2	amu	purta
vb 4	amultsăscu - mi	îndesi
vb 4	amultsăscu - mi	înmulţi, v
vb 4	amultsăscu - mi	mări
vb 4	amultsăscu - mi	multiplica
vb 4	amultsăscu - mi	prăsi
vb 4	amultsăscu - mi	reproduce
vb 4	amultsăscu - mi	spori
sf	amurâ	ac de păr
sf	amurâ	mură - plantă
sf	amurâ	mură - stomacul rumegătoarelor
sn	amurdzishu	amurg
sn fpl	amurdzitâ	amurg
sm fpl	amurgu	amurg
adj	amurgu	murg
sm fpl	amurtsâtu	junghi
sm fpl	amurtsâtu	pleurezie
sf	amurtsâturâ	amorţitură
vb 4	amurtsăscu	amorţi, v
vb 4	amurtsăscu	hiberna
vb 4	amurtsăscu	insensibiliza
vb 4	amurtsăscu	înţepeni
vb 4	amurtsăscu	paraliza
vb 4	amurtsăscu	strepezi
vb 1	amurtu	amorţi, v
vb 4	amurtu	hiberna
vb 4	amurtu	insensibiliza
vb 4	amurtu	înţepeni
vb 4	amurtu	paraliza
vb 4	amurtu	strepezi
adv	amushi	acum
sm fpl	amutsaljiu	muţenie
vb 4	amutsăscu	amuţi, v
vb 4	amutsăscu	înceta - fig
vb 4	amutsăscu	tace
vb 1	amutu	amuţi, v
vb 1	amutu	înceta - fig
adj	amutu	mut
vb 1	amutu	tace
vb 4	amvâlescu	acoperi
vb 4	amvâlescu	ascunde - fig
vb 4	amvâlescu	îmbrăca
vb 4	amvâlescu	înfăşura
vb 4	amvâlescu	înveli
vb 4	amvâlescu	parcurge - fig
vb 4	amvâlescu	şterpeli - fig
vb 1	amvârlighedzu	împresura
vb 1	amvârlighedzu	încercui
vb 1	amvârlighedzu	înconjura, v
vb 1	amvârlighedzu	ocoli
vb 1	amvârligu	împresura
vb 1	amvârligu	încercui
vb 1	amvârligu	înconjura, v
vb 1	amvârligu	ocoli
vb 4	amvârtescu	da târcoale
vb 4	amvârtescu	foi, a se
vb 4	amvârtescu	învârti
vb 4	amvârtescu	învârti, v
vb 4	amvârtescu	răsuci
vb 4	amvârtescu	roti
vb 4	amvârtescu	şterpeli - fig
sf	amvoni	amvon-balcon în biserică de unde se predică
sf	amvunâ	amvon-balcon în biserică de unde se predică
sn	amvunu	amvon-balcon în biserică de unde se predică
prep	an	în
vb 4	anâbârescu - mi	trezi îngrozit, v
vb 4	anâcâtusescu - mi	amesteca
vb 4	anâcâtusescu - mi	amesteca, v
vb 4	anâcâtusescu - mi	combina
vb 4	anâcâtusescu - mi	corci
vb 4	anâcâtusescu - mi	interveni
vb 4	anâcâtusescu - mi	vârâ, se
sf	anacrâ	curaj
sf	anacrâ	permisie
sf	anacrâ	tărie
vb 4	anâcrescu - mi	admonesta
vb 4	anâcrescu - mi	apstrofa
vb 4	anâcrescu - mi	beşteli
vb 4	anâcrescu - mi	certa, v
vb 4	anâcrescu - mi	dojeni
vb 4	anâcrescu - mi	mustra
vb 4	anâcrescu - mi	muştrului
vb 4	anâcrescu - mi	ocărâ
vb 4	anâcrescu - mi	sfădi
sn	anâcriciu	acreală
sf	anâcrimi	acreală
adj	anacshiu	incapabil
locu	Anadulii	Anatolia
adj	anadulishu	oriental
adv	anafal	zadarnic
vb 4	anâfâtescu - mi	dezgustat a fi de ceva, cineva
vb 4	anâfâtescu - mi	îmbuca
vb 4	anâfâtescu - mi	îndestula
vb 4	anâfâtescu - mi	plictisi de ceva, cineva
vb 4	anâfâtescu - mi	potoli foamea sau setea
vb 4	anâfâtescu - mi	sătura, v
vb 4	anâfâtescu - mi	scârbit a fi de ceva, cineva
vb 4	anâfirsescu - mi	evoca
vb 4	anâfirsescu - mi	menţiona, v
vb 4	anâfirsescu - mi	reaminti, v
vb 4	anâfirsescu - mi	rechema
vb 4	anâfirsescu - mi	reîmprospăta
vb 4	anâfirsescu - mi	reîncepe
vb 4	anâfirsescu - mi	relua, v
vb 4	anâfirsescu - mi	rememora
sf	anafurâ	anafură
sf	anafurauâ	petiţie
adv	anaghiore	conform
adv	anaghiori	conform
sm fpl	anagnosti	dascal la biserică
adj	anahimatu	anatemizat
adj	anahimatu	blestemat
vb 1	anâhimedzu	blestema
vb 4	anâl(i)sescu	descompune, v
vb 4	anâl(i)sescu	desface
vb 4	anâl(i)sescu	despărţi
vb 4	anâl(i)sescu	destrăma
vb 4	anâl(i)sescu	dezalcătui
vb 4	anâl(i)sescu	dezmembra
vb 4	anâl(i)sescu	divide
vb 4	anâl(i)sescu	scinda
vb 4	anâl(i)sescu	separa
sf fpl	analipsi	ascensiune
